Estimate ID,Division,Price,Hours,Price/Hour,Reason
EST5064509,LE Tree Care,484.36,4,121.09,Low price
EST4933314,LE Tree Care,567.96,4,141.99,Low price
EST5801645,LE Landscapes,630,4,157.50,Low price
EST2990831,LE Maintenance (Summer/Winter),1430.02,,,Zero hours
EST2990837,LE Maintenance (Summer/Winter),1460.92,,,Zero hours
EST5077566,LE Tree Care,1569.02,12,130.75,Other
EST5802989,LE Landscapes,1777.68,10,177.77,Other
EST2991137,LE Maintenance (Summer/Winter),2175.41,,,Zero hours
EST2991177,LE Maintenance (Summer/Winter),2200.09,,,Zero hours
EST2991138,LE Maintenance (Summer/Winter),2240.67,,,Zero hours
EST2991178,LE Maintenance (Summer/Winter),2266.09,,,Zero hours
EST3345238,LE Maintenance (Summer/Winter),2327,,,Zero hours
EST4802410,LE Irrigation,2348.73,10,234.87,Other
EST5802633,LE Landscapes,2396.38,10,239.64,Other
EST3015782,LE Maintenance (Summer/Winter),2892.24,,,Zero hours
EST3031309,LE Maintenance (Summer/Winter),2909.65,5,581.93,Maintenance division
EST5034415,LE Paving,2934.12,20,146.71,Other
EST3015786,LE Maintenance (Summer/Winter),2979.01,,,Zero hours
EST3345224,LE Maintenance (Summer/Winter),3382,,,Zero hours
EST3345231,LE Maintenance (Summer/Winter),3382,,,Zero hours
EST2950411,LE Maintenance (Summer/Winter),3544.09,,,Zero hours
EST3346113,LE Maintenance (Summer/Winter),3599.76,48,75.00,Maintenance division
EST3345213,LE Maintenance (Summer/Winter),3646,,,Zero hours
EST5017272,LE Paving,3798.37,4,949.59,Other
EST5078367,LE Paving,3921.42,,,Zero hours
EST2990639,LE Maintenance (Summer/Winter),4005.98,,,Zero hours