Estimate ID,Division,Type,Version,Price,Hours,PPH,Exclusion Reason
EST2846247,LE Maintenance Enchancements,Standard,,80,,,Price < $100
EST3307411,LE Maintenance (Summer/Winter),Service,2025,45364,1,45364.00,PPH > $5,000 ($45364.00/h)
EST3254553,LE Maintenance (Summer/Winter),Service,2025,33295,1,33295.00,PPH > $5,000 ($33295.00/h)
EST5818416,LE Irrigation,Standard,,92,,,Price < $100
EST5818392,LE Irrigation,Standard,,92,,,Price < $100
EST5818430,LE Irrigation,Standard,,59,,,Price < $100
EST5818378,LE Irrigation,Standard,,92,,,Price < $100
EST5826572,LE Tree Care,Standard,,0,,,Price < $100
EST3253925,LE Maintenance (Summer/Winter),Service,1,5215,1,5215.00,PPH > $5,000 ($5215.00/h)
EST3224652,LE Maintenance (Summer/Winter),Service,1,13334.81,1,13334.81,PPH > $5,000 ($13334.81/h)
EST5846923,LE Paving,Standard,,0,,,Price < $100
EST3305946,LE Maintenance (Summer/Winter),Service,2025,35550.42,1,35550.42,PPH > $5,000 ($35550.42/h)
EST3322412,LE Maintenance (Summer/Winter),Service,2025,36044.85,1,36044.85,PPH > $5,000 ($36044.85/h)
EST2955829,LE Maintenance (Summer/Winter),Service,2024,78665.37,1,78665.37,PPH > $5,000 ($78665.37/h)
EST3347950,LE Maintenance (Summer/Winter),Service,2027,11319.84,1,11319.84,PPH > $5,000 ($11319.84/h)
EST3262014,LE Maintenance (Summer/Winter),Service,2025,11319.84,1,11319.84,PPH > $5,000 ($11319.84/h)
EST3107262,LE Maintenance (Summer/Winter),Service,2025,0,,,Price < $100
EST3027843,LE Maintenance (Summer/Winter),Service,2025,6974.58,1,6974.58,PPH > $5,000 ($6974.58/h)
EST3270334,LE Maintenance (Summer/Winter),Service,1,13200,1,13200.00,PPH > $5,000 ($13200.00/h)
EST5554724,LE Maintenance Enchancements,Standard,,210.88,,,Zero hours + low price + Maintenance
EST3270368,LE Maintenance (Summer/Winter),Service,1,8400,1,8400.00,PPH > $5,000 ($8400.00/h)
EST2990117,LE Maintenance (Summer/Winter),Service,2026,53063.1,5,10612.62,PPH > $5,000 ($10612.62/h)
EST2997957,LE Maintenance (Summer/Winter),Service,2025,26037.71,1,26037.71,PPH > $5,000 ($26037.71/h)
EST2997198,LE Maintenance (Summer/Winter),Service,2025,81007.29,1,81007.29,PPH > $5,000 ($81007.29/h)
EST2997285,LE Maintenance (Summer/Winter),Service,2025,16045.85,1,16045.85,PPH > $5,000 ($16045.85/h)
EST2999958,LE Maintenance (Summer/Winter),Service,2025,17883.06,1,17883.06,PPH > $5,000 ($17883.06/h)
EST2999562,LE Maintenance (Summer/Winter),Service,2025,74348.79,1,74348.79,PPH > $5,000 ($74348.79/h)
EST3000299,LE Maintenance (Summer/Winter),Service,2025,26547.61,1,26547.61,PPH > $5,000 ($26547.61/h)
EST3000041,LE Maintenance (Summer/Winter),Service,2025,16677.15,1,16677.15,PPH > $5,000 ($16677.15/h)
EST3000180,LE Maintenance (Summer/Winter),Service,2025,19208.73,1,19208.73,PPH > $5,000 ($19208.73/h)
EST2999661,LE Maintenance (Summer/Winter),Service,2025,24600.11,1,24600.11,PPH > $5,000 ($24600.11/h)
EST2999761,LE Maintenance (Summer/Winter),Service,2025,15487.43,1,15487.43,PPH > $5,000 ($15487.43/h)
EST3339238,LE Maintenance (Summer/Winter),Service,2025-2026,76400,2,38200.00,PPH > $5,000 ($38200.00/h)
EST3339064,LE Maintenance (Summer/Winter),Service,2025-2026,115940,2,57970.00,PPH > $5,000 ($57970.00/h)
EST3339038,LE Maintenance (Summer/Winter),Service,2025-2026,116570,2,58285.00,PPH > $5,000 ($58285.00/h)
EST3339431,LE Maintenance (Summer/Winter),Service,2025-2026,26680,2,13340.00,PPH > $5,000 ($13340.00/h)
EST3339396,LE Maintenance (Summer/Winter),Service,2025-2026,24610,2,12305.00,PPH > $5,000 ($12305.00/h)
EST3339265,LE Maintenance (Summer/Winter),Service,2025-2026,86420,2,43210.00,PPH > $5,000 ($43210.00/h)
EST3339221,LE Maintenance (Summer/Winter),Service,2025-2026,336830,2,168415.00,PPH > $5,000 ($168415.00/h)
EST3287444,LE Maintenance (Summer/Winter),Service,1,16125,1,16125.00,PPH > $5,000 ($16125.00/h)
EST3339633,LE Maintenance (Summer/Winter),Service,2025-2026,39540,2,19770.00,PPH > $5,000 ($19770.00/h)
EST3339453,LE Maintenance (Summer/Winter),Service,2025-2026,55820,2,27910.00,PPH > $5,000 ($27910.00/h)
EST3339247,LE Maintenance (Summer/Winter),Service,2026-2027,76400,2,38200.00,PPH > $5,000 ($38200.00/h)
EST3339498,LE Maintenance (Summer/Winter),Service,2025-2026,29160,2,14580.00,PPH > $5,000 ($14580.00/h)
EST3339468,LE Maintenance (Summer/Winter),Service,2025-2026,45370,2,22685.00,PPH > $5,000 ($22685.00/h)
EST3338967,LE Maintenance (Summer/Winter),Service,,138900,2,69450.00,PPH > $5,000 ($69450.00/h)
EST3340456,LE Maintenance (Summer/Winter),Service,2025-2026,113560,2,56780.00,PPH > $5,000 ($56780.00/h)
EST3341651,LE Maintenance (Summer/Winter),Service,2025-2026,27040,2,13520.00,PPH > $5,000 ($13520.00/h)
EST3339275,LE Maintenance (Summer/Winter),Service,2026-2027,86420,2,43210.00,PPH > $5,000 ($43210.00/h)
EST3339641,LE Maintenance (Summer/Winter),Service,2026-2027,39540,2,19770.00,PPH > $5,000 ($19770.00/h)
EST3339229,LE Maintenance (Summer/Winter),Service,2026-2027,336830,2,168415.00,PPH > $5,000 ($168415.00/h)
EST3339458,LE Maintenance (Summer/Winter),Service,2026-2027,55820,2,27910.00,PPH > $5,000 ($27910.00/h)
EST3339474,LE Maintenance (Summer/Winter),Service,2026-2027,45370,2,22685.00,PPH > $5,000 ($22685.00/h)
EST3339578,LE Maintenance (Summer/Winter),Service,2026-2027,29160,2,14580.00,PPH > $5,000 ($14580.00/h)
EST3339437,LE Maintenance (Summer/Winter),Service,2026-2027,26680,2,13340.00,PPH > $5,000 ($13340.00/h)
EST3339408,LE Maintenance (Summer/Winter),Service,2026-2027,24610,2,12305.00,PPH > $5,000 ($12305.00/h)
EST3339051,LE Maintenance (Summer/Winter),Service,2026-2027,116570,2,58285.00,PPH > $5,000 ($58285.00/h)
EST3339076,LE Maintenance (Summer/Winter),Service,2026-2027,115940,2,57970.00,PPH > $5,000 ($57970.00/h)
EST3340463,LE Maintenance (Summer/Winter),Service,2026-2027,113560,2,56780.00,PPH > $5,000 ($56780.00/h)
EST3339416,LE Maintenance (Summer/Winter),Service,2027-2028,24610,2,12305.00,PPH > $5,000 ($12305.00/h)
EST3339582,LE Maintenance (Summer/Winter),Service,2027-2028,29160,2,14580.00,PPH > $5,000 ($14580.00/h)
EST3340468,LE Maintenance (Summer/Winter),Service,2027-2028,113560,2,56780.00,PPH > $5,000 ($56780.00/h)
EST3338996,LE Maintenance (Summer/Winter),Service,,138900,2,69450.00,PPH > $5,000 ($69450.00/h)
EST3339442,LE Maintenance (Summer/Winter),Service,2027-2028,26680,2,13340.00,PPH > $5,000 ($13340.00/h)
EST3339085,LE Maintenance (Summer/Winter),Service,2027-2028,115940,2,57970.00,PPH > $5,000 ($57970.00/h)
EST3339647,LE Maintenance (Summer/Winter),Service,2027-2028,39540,2,19770.00,PPH > $5,000 ($19770.00/h)
EST3339280,LE Maintenance (Summer/Winter),Service,2027-2028,86420,2,43210.00,PPH > $5,000 ($43210.00/h)
EST3339251,LE Maintenance (Summer/Winter),Service,2027-2028,76400,2,38200.00,PPH > $5,000 ($38200.00/h)
EST3339233,LE Maintenance (Summer/Winter),Service,2027-2028,336830,2,168415.00,PPH > $5,000 ($168415.00/h)
EST3341661,LE Maintenance (Summer/Winter),Service,2027-2028,27040,2,13520.00,PPH > $5,000 ($13520.00/h)
EST3341656,LE Maintenance (Summer/Winter),Service,2026-2027,27040,2,13520.00,PPH > $5,000 ($13520.00/h)
EST3339461,LE Maintenance (Summer/Winter),Service,2027-2028,55820,2,27910.00,PPH > $5,000 ($27910.00/h)
EST3339002,LE Maintenance (Summer/Winter),Service,,138900,2,69450.00,PPH > $5,000 ($69450.00/h)
EST5587094,LE Maintenance (Summer/Winter),Standard,,75.74,1,75.74,Price < $100
EST5742968,LE Paving,Standard,,8755.72,1,8755.72,PPH > $5,000 ($8755.72/h)
EST3307548,LE Maintenance (Summer/Winter),Service,2025,14724,1,14724.00,PPH > $5,000 ($14724.00/h)
EST3312074,LE Maintenance (Summer/Winter),Service,2026,15165.72,1,15165.72,PPH > $5,000 ($15165.72/h)
EST3312077,LE Maintenance (Summer/Winter),Service,2027,15620.69,1,15620.69,PPH > $5,000 ($15620.69/h)