Estimate ID,Division,Type,Version,Price,Hours,PPH
EST5599711,LE Tree Care,Standard,,2587.66,20.5,126.23
EST5649036,LE Maintenance Enchancements,Standard,,421.76,6,70.29
EST5850780,LE Irrigation,Standard,,200,,
EST5850847,LE Irrigation,Standard,,100,,
EST5669679,LE Maintenance Enchancements,Standard,,632.64,6,105.44
EST5497919,LE Maintenance Enchancements,Standard,,171.25,1,171.25
EST5850652,LE Irrigation,Standard,,250,,
EST5850702,LE Irrigation,Standard,,250,,
EST5450865,LE Maintenance Enchancements,Standard,,421.76,6,70.29
EST5450635,LE Tree Care,Standard,,2799.92,16,175.00
EST5609396,LE Irrigation,Standard,,402.37,4,100.59
EST5850683,LE Irrigation,Standard,,250,,
EST3270794,LE Maintenance (Summer/Winter),Service,2025,13949.99,72,193.75
EST3299572,LE Maintenance (Summer/Winter),Service,2025,16295,15,1086.33
EST3015659,LE Maintenance (Summer/Winter),Service,2026,51985.78,,
EST3017119,LE Maintenance (Summer/Winter),Service,2026,9425.02,,
EST5770273,LE Irrigation,Standard,,608.16,6,101.36
EST3015527,LE Maintenance (Summer/Winter),Service,2026,8771.88,,
EST3015782,LE Maintenance (Summer/Winter),Service,2026,2892.24,,
EST3307342,LE Maintenance (Summer/Winter),Service,2026,16763.6,15,1117.57
EST5333954,LE Irrigation,Standard,2026,4050,,
EST3277343,LE Maintenance (Summer/Winter),Service,2026,14368.49,72,199.56
EST5770259,LE Irrigation,Standard,,651.86,6,108.64
EST3270381,LE Maintenance (Summer/Winter),Service,1,3150,,
EST3015786,LE Maintenance (Summer/Winter),Service,2027,2979.01,,
EST5333992,LE Irrigation,Standard,2027,4050,,
EST3017129,LE Maintenance (Summer/Winter),Service,2027,9707.77,,
EST3015579,LE Maintenance (Summer/Winter),Service,2027,9035.04,,
EST3015670,LE Maintenance (Summer/Winter),Service,2027,53545.35,,
EST2948927,LE Maintenance (Summer/Winter),Service,1,32519.05,90,361.32
EST2982018,LE Maintenance (Summer/Winter),Service,2025,116552.08,25,4662.08
EST2987807,LE Maintenance (Summer/Winter),Service,2025-2026,49067.14,105,467.31
EST2981926,LE Maintenance (Summer/Winter),Service,2025,52417.57,25,2096.70
EST5193441,LE Irrigation,Standard,,7653.58,32,239.17
EST5193436,LE Irrigation,Standard,,8199.34,32,256.23
EST5199924,LE Paving,Standard,,5492.65,15,366.18
EST5314150,LE Maintenance Enchancements,Standard,,937,6,156.17
EST5193445,LE Irrigation,Standard,,13441.93,48,280.04
EST4934222,LE Irrigation,Standard,,6346.59,24,264.44
EST2987508,LE Maintenance (Summer/Winter),Service,2025-2026,114333.53,105,1088.89
EST5193429,LE Irrigation,Standard,,8775.07,32,274.22
EST5406182,LE Tree Care,Standard,,1760.76,12,146.73
EST5847209,LE Irrigation,Standard,,400,,
EST5485558,LE Landscapes,Standard,,2153.38,12,179.45
EST5818536,LE Irrigation,Standard,,707.42,6,117.90
EST5593813,LE Tree Care,Standard,,1314.47,9,146.05
EST5506088,LE Maintenance (Summer/Winter),Standard,,1400,8,175.00
EST5778044,LE Tree Care,Standard,,400.02,3,133.34
EST5818562,LE Irrigation,Standard,,651.86,6,108.64
EST5457195,LE Paving,Standard,,8848.46,42,210.68
EST5436543,LE Landscapes,Standard,,1444.36,8,180.54
EST5532670,LE Tree Care,Standard,,739.77,5,147.95
EST5859835,LE Tree Care,Standard,,260.74,2,130.37
EST5485444,LE Landscapes,Standard,,3742.41,14,267.31
EST5741300,LE Tree Care,Standard,,4044.85,26.5,152.64
EST5722814,LE Paving,Standard,,912.84,3,304.28
EST5580473,LE Tree Care,Standard,,3978.74,12,331.56
EST5630549,LE Irrigation,Standard,,982.75,6,163.79
EST5787231,LE Landscapes,Standard,,4680.09,18,260.00
EST5497349,LE Paving,Standard,,9794.75,35,279.85
EST5740095,LE Irrigation,Standard,,311.43,2,155.72
EST5451050,LE Irrigation,Standard,,225,,
EST5562983,LE Paving,Standard,,495.4,2,247.70
EST2990148,LE Maintenance (Summer/Winter),Service,2026,120048.64,25,4801.95
EST2988809,LE Maintenance (Summer/Winter),Service,2026,50539.15,105,481.33
EST2988830,LE Maintenance (Summer/Winter),Service,2027,43557.69,55,791.96
EST5801645,LE Landscapes,Standard,,630,4,157.50
EST2988879,LE Maintenance (Summer/Winter),Service,2026,117763.54,105,1121.56
EST2988908,LE Maintenance (Summer/Winter),Service,2027,121296.44,105,1155.20
EST2990127,LE Maintenance (Summer/Winter),Service,2027,55609.79,25,2224.39
EST2990155,LE Maintenance (Summer/Winter),Service,2027,111445.27,100,1114.45
EST2865276,LE Maintenance (Summer/Winter),Service,1,10590.3,,
EST5469027,LE Landscapes,Standard,,3002.32,8,375.29
EST5119966,LE Tree Care,Standard,,400,2,200.00
EST2944324,LE Maintenance (Summer/Winter),Service,1,7527.03,,
EST2944488,LE Maintenance (Summer/Winter),Service,1,7527.03,,
EST5421296,LE Landscapes,Standard,,2632.48,16,164.53
EST5444851,LE Paving,Standard,,4082.54,18,226.81
EST5331079,LE Landscapes,Standard,,839.87,4,209.97
EST5242242,LE Paving,Standard,2,8347.84,15,556.52
EST5355358,LE Landscapes,Standard,,8590.26,32,268.45
EST5421573,LE Landscapes,Standard,,3098.99,12,258.25
EST5421428,LE Landscapes,Standard,,5363.7,27,198.66
EST2943141,LE Maintenance (Summer/Winter),Service,1,10657.5,,
EST5201995,LE Paving,Standard,,8599.47,40,214.99
EST5326077,LE Landscapes,Standard,,6872.3,24,286.35
EST5200236,Snow,Standard,,1519.04,8,189.88
EST5264130,LE Tree Care,Standard,,300,1,300.00
EST5482221,LE Tree Care,Standard,,2999.22,19,157.85
EST5482208,LE Tree Care,Standard,,868.16,6,144.69
EST5421710,LE Landscapes,Standard,,4397.76,25,175.91
EST5482195,LE Tree Care,Standard,,293.46,2,146.73
EST5526332,LE Tree Care,Standard,,611.36,4,152.84
EST5739674,LE Tree Care,Standard,,2885.72,20,144.29
EST2944343,LE Maintenance (Summer/Winter),Service,2026,7527.03,,
EST5499174,LE Landscapes,Standard,,996.59,6,166.10
EST5647035,LE Tree Care,Standard,,892.6,6,148.77
EST5492658,LE Landscapes,Standard,,17542.93,52,337.36
EST5739759,LE Tree Care,Standard,,1173.84,8,146.73
EST5884969,LE Tree Care,Standard,,1173.84,8,146.73
EST5760381,LE Tree Care,Standard,,3420.97,21.5,159.11
EST5738895,LE Tree Care,Standard,,200.01,1,200.01
EST5557031,LE Tree Care,Standard,,1173.84,8,146.73
EST5526314,LE Tree Care,Standard,,987.37,6.5,151.90
EST5575329,LE Tree Care,Standard,,790.75,4.5,175.72
EST5516195,LE Landscapes,Standard,,10020.35,44,227.74
EST5526222,LE Tree Care,Standard,,681.69,4.5,151.49
EST5499196,LE Landscapes,Standard,,4805.19,22,218.42
EST5382395,LE Landscapes,Standard,,5971.44,30,199.05
EST3020281,LE Maintenance (Summer/Winter),Service,2026,54242.67,105,516.60
EST2962394,LE Maintenance (Summer/Winter),Service,2025,10675.03,,
EST3020290,LE Maintenance (Summer/Winter),Service,2027,55869.95,105,532.09
EST2902784,LE Maintenance (Summer/Winter),Service,1,8150.1,,
EST3015987,LE Maintenance (Summer/Winter),Service,2025,32012.79,25,1280.51
EST2962487,LE Maintenance (Summer/Winter),Service,2026,10995.22,,
EST5540311,Line Painting,Standard,2025,2761.11,,
EST5717625,LE Landscapes,Standard,,3133.54,16,195.85
EST5553251,LE Landscapes,Standard,,11338.59,48,236.22
EST2962501,LE Maintenance (Summer/Winter),Service,2027,11325.28,,
EST2990228,LE Maintenance (Summer/Winter),Service,2025,2136.01,,
EST2990344,LE Maintenance (Summer/Winter),Service,2025,2112.05,,
EST2990355,LE Maintenance (Summer/Winter),Service,2025,6637.96,,
EST2991145,LE Maintenance (Summer/Winter),Service,2026,6837.1,,
EST2991137,LE Maintenance (Summer/Winter),Service,2026,2175.41,,
EST2991178,LE Maintenance (Summer/Winter),Service,2027,2266.09,,
EST2991138,LE Maintenance (Summer/Winter),Service,2027,2240.67,,
EST2991148,LE Maintenance (Summer/Winter),Service,2027,7042.21,,
EST2991177,LE Maintenance (Summer/Winter),Service,2026,2200.09,,
EST2997051,LE Maintenance (Summer/Winter),Service,2025,6421.28,94.5,67.95
EST5630455,LE Irrigation,Standard,,1248.17,12,104.01
EST5654490,LE Tree Care,Standard,,957.25,6.5,147.27
EST5374628,LE Paving,Standard,,1637.48,8,204.69
EST5573579,LE Paving,Standard,,4556.36,15,303.76
EST5654450,LE Tree Care,Standard,,1479.52,10,147.95
EST5630569,LE Irrigation,Standard,,896.31,6,149.38
EST5374549,LE Paving,Standard,,1650.32,8,206.29
EST5630613,LE Irrigation,Standard,,1675.56,16,104.72
EST5630466,LE Irrigation,Standard,,471.61,4,117.90
EST5630547,LE Irrigation,Standard,,540.75,6,90.13
EST5630494,LE Irrigation,Standard,,1132.12,8,141.51
EST5846941,LE Paving,Standard,,1235.4,10,123.54
EST5828331,LE Paving,Standard,,1012.05,6,168.67
EST3189822,LE Maintenance (Summer/Winter),Service,2027,15195.32,105,144.72
EST3189820,LE Maintenance (Summer/Winter),Service,2026,14752.74,105,140.50
EST3143185,LE Maintenance (Summer/Winter),Service,2025,14323.05,105,136.41
EST2840806,LE Maintenance (Summer/Winter),Service,2025,31999.83,90,355.55
EST3021034,LE Maintenance (Summer/Winter),Service,2025,11851.27,,
EST3021074,LE Maintenance (Summer/Winter),Service,2025,15889.27,,
EST3021090,LE Maintenance (Summer/Winter),Service,2025,19134.07,,
EST5471570,LE Irrigation,Standard,,963.97,8,120.50
EST5471543,LE Irrigation,Standard,,854.4,8,106.80
EST5471661,LE Irrigation,Standard,,1256.77,12,104.73
EST5471688,LE Irrigation,Standard,,1403.38,12,116.95
EST5334449,LE Irrigation,Standard,,400,,
EST5771989,LE Landscapes,Standard,,751.59,4,187.90
EST5479856,LE Landscapes,Standard,,3261.84,20,163.09
EST5500128,LE Paving,Standard,,7304.6,8.5,859.36
EST5531485,LE Tree Care,Standard,,1363.35,9,151.48
EST5521891,LE Paving,Standard,,5731.39,26,220.44
EST5672568,LE Irrigation,Standard,,804.94,4,201.24
EST3238099,LE Maintenance (Summer/Winter),Service,1,45535.31,60,758.92
EST5515648,LE Landscapes,Standard,,5268.02,19,277.26
EST5788952,LE Tree Care,Standard,,586.92,4,146.73
EST5531388,LE Tree Care,Standard,,669.47,4.5,148.77
EST5500728,LE Paving,Standard,,6681.79,6,1113.63
EST5488464,LE Irrigation,Standard,,1562.91,8,195.36
EST5818521,LE Irrigation,Standard,,416.06,4,104.02
EST5660110,LE Maintenance Enchancements,Standard,,1435.91,6,239.32
EST5531348,LE Tree Care,Standard,,892.6,6,148.77
EST5488510,LE Maintenance Enchancements,Standard,,799.11,12,66.59
EST5501315,LE Paving,Standard,,6212.49,5,1242.50
EST5531431,LE Tree Care,Standard,,305.68,2,152.84
EST3262119,LE Maintenance (Summer/Winter),Service,1,35760,72,496.67
EST5500955,LE Paving,Standard,,4351.14,16,271.95
EST5531295,LE Tree Care,Standard,,892.6,6,148.77
EST5853085,LE Irrigation,Standard,,3331.92,32,104.12
EST5700029,LE Paving,Standard,,615.87,3,205.29
EST5802989,LE Landscapes,Standard,,1777.68,10,177.77
EST5291614,LE Landscapes,Standard,,9359.64,40,233.99
EST5078367,LE Paving,Standard,,3921.42,,
EST5336639,LE Landscapes,Standard,,857.02,3,285.67
EST5092778,LE Tree Care,Standard,,400,3,133.33
EST5331492,LE Landscapes,Standard,,11998.04,70,171.40
EST5221874,LE Landscapes,Standard,,23398.98,299,78.26
EST5344085,LE Landscapes,Standard,,3701.08,8,462.63
EST4715585,LE Landscapes,Standard,,18896.88,98,192.83
EST5221975,LE Landscapes,Standard,,40576.31,234,173.40
EST5350823,LE Landscapes,Standard,,4952.99,26,190.50
EST5350536,LE Landscapes,Standard,,8750.13,46,190.22
EST5221900,LE Landscapes,Standard,,59850.18,242,247.31
EST5492612,LE Irrigation,Standard,,1390.53,13,106.96
EST5469232,LE Paving,Standard,,13808.21,20,690.41
EST5363279,LE Landscapes,Standard,,2090.91,12,174.24
EST5477318,LE Landscapes,Standard,,7921.81,32,247.56
EST5367592,LE Landscapes,Standard,,3255.59,12,271.30
EST5489114,LE Paving,Standard,,2123.64,12,176.97
EST5367758,LE Paving,Standard,,2165.63,,
EST5431973,LE Irrigation,Standard,,1733.43,12,144.45
EST5380800,LE Landscapes,Standard,,1116.35,5,223.27
EST5380591,LE Landscapes,Standard,,2042.12,6.5,314.17
EST5451380,LE Irrigation,Standard,,200,,
EST5488935,LE Maintenance Enchancements,Standard,,313,4,78.25
EST4772756,LE Paving,Standard,,9090.51,32,284.08
EST5426660,LE Irrigation,Standard,,1586.58,16,99.16
EST5426638,LE Irrigation,Standard,,327.47,2,163.74
EST5431948,LE Irrigation,Standard,,915.51,8,114.44
EST5382021,LE Landscapes,Standard,,1552.32,6.33,245.23
EST5482886,LE Irrigation,Standard,,1688.89,,
EST5362509,LE Landscapes,Standard,,2639.27,16,164.95
EST5492654,LE Irrigation,Standard,,2014.07,14,143.86
EST5488548,LE Irrigation,Standard,,1074.3,10,107.43
EST5397018,LE Landscapes,Standard,,64048.41,190,337.10
EST5477595,LE Landscapes,Standard,,14691.32,68,216.05
EST5579966,LE Landscapes,Standard,,38762.56,136,285.02
EST5491113,LE Maintenance Enchancements,Standard,,151.46,2.5,60.58
EST5504271,LE Landscapes,Standard,,19490,88,221.48
EST5514453,LE Irrigation,Standard,,953.93,9,105.99
EST5492191,LE Irrigation,Standard,,2440.58,24,101.69
EST5545215,LE Irrigation,Standard,,1537.5,12,128.13
EST5575414,LE Irrigation,Standard,,1586.58,16,99.16
EST5492498,LE Irrigation,Standard,,671.54,6,111.92
EST5562553,LE Tree Care,Standard,,3184.48,16,199.03
EST5520115,LE Maintenance Enchancements,Standard,,867.63,4,216.91
EST5653293,LE Paving,Standard,,9040.19,30,301.34
EST5754403,LE Paving,Standard,,9759.98,40,244.00
EST5669690,LE Paving,Standard,,8491.91,30,283.06
EST5619114,LE Irrigation,Standard,,952.47,10,95.25
EST5597465,LE Tree Care,Standard,,1879.97,12.5,150.40
EST5583054,LE Landscapes,Standard,,1447.59,8,180.95
EST5764834,LE Tree Care,Standard,,400,2,200.00
EST5635950,LE Landscapes,Standard,,4607.9,24,192.00
EST5635919,LE Landscapes,Standard,,4214.23,24,175.59
EST5655097,LE Tree Care,Standard,,2653.36,18,147.41
EST5631558,LE Irrigation,Standard,,1620.52,16,101.28
EST5668790,LE Tree Care,Standard,,1479.52,10,147.95
EST5717408,LE Irrigation,Standard,,150,,
EST5706364,LE Irrigation,Standard,,854.33,8,106.79
EST5655081,LE Tree Care,Standard,,3056.8,20,152.84
EST5706400,LE Irrigation,Standard,,239.21,2,119.61
EST5690363,LE Tree Care,Standard,,3970.4,26,152.71
EST5839287,LE Irrigation,Standard,,150,,
EST3339607,LE Maintenance (Summer/Winter),Service,2025-2026,9130,2,4565.00
EST5844366,LE Irrigation,Standard,,180.25,2,90.13
EST5863190,LE Landscapes,Standard,,1575,10,157.50
EST5866636,LE Tree Care,Standard,,446.31,3,148.77
EST3339613,LE Maintenance (Summer/Winter),Service,2026-2027,9130,2,4565.00
EST3339620,LE Maintenance (Summer/Winter),Service,2027-2028,9130,2,4565.00
EST4717189,LE Irrigation,Standard,,4771.06,24,198.79
EST4717212,LE Irrigation,Standard,,4790.47,24,199.60
EST4717159,LE Irrigation,Standard,,4731.8,24,197.16
EST4717080,LE Irrigation,Standard,,5564.49,24,231.85
EST2951166,LE Maintenance (Summer/Winter),Service,2025,37506.6,90,416.74
EST2845926,LE Maintenance (Summer/Winter),Service,1,68815.41,90,764.62
EST2845958,LE Maintenance (Summer/Winter),Service,1,36414,90,404.60
EST2981723,LE Maintenance (Summer/Winter),Service,2025,6700,,
EST2989341,LE Maintenance (Summer/Winter),Service,2025,22903.92,300,76.35
EST3025117,LE Maintenance (Summer/Winter),Service,2025,28241.14,105,268.96
EST2981739,LE Maintenance (Summer/Winter),Service,2025,1400.02,,
EST2989584,LE Maintenance (Summer/Winter),Service,2025,43113,300,143.71
EST5161216,LE Tree Care,Standard,,1017.48,8,127.19
EST2981716,LE Maintenance (Summer/Winter),Service,2025,3918.02,,
EST5293729,LE Irrigation,Standard,,500,,
EST5238301,LE Paving,Standard,,2215.53,12,184.63
EST5293639,LE Irrigation,Standard,,550,,
EST5456954,LE Tree Care,Standard,,3494.32,16,218.40
EST5363473,LE Paving,Standard,,3800.02,12,316.67
EST3119490,LE Maintenance (Summer/Winter),Service,2025,18644.81,105,177.57
EST5329797,LE Irrigation,Standard,,700,,
EST5329291,LE Irrigation,Standard,,350,,
EST5329316,LE Irrigation,Standard,,370,,
EST5486823,LE Paving,Standard,,18941.58,54,350.77
EST5362712,LE Landscapes,Standard,,400.02,4,100.00
EST5329328,LE Irrigation,Standard,,500,,
EST5329895,LE Irrigation,Standard,,500,,
EST5387221,LE Paving,Standard,,2079.42,12,173.28
EST5329818,LE Irrigation,Standard,,500,,
EST5436851,LE Landscapes,Standard,,477.71,2.5,191.08
EST5329350,LE Irrigation,Standard,,250,,
EST5418809,LE Paving,Standard,,21320.55,25,852.82
EST5329271,LE Irrigation,Standard,,300,,
EST5575515,LE Tree Care,Standard,,586.92,4,146.73
EST5488299,LE Maintenance Enchancements,Standard,,236.7,4,59.17
EST5525341,LE Paving,Standard,,9295.59,31,299.86
EST5557087,LE Tree Care,Standard,,3234.18,22,147.01
EST5577496,LE Maintenance (Summer/Winter),Standard,,387.2,2,193.60
EST5577479,LE Maintenance (Summer/Winter),Standard,,503.02,3,167.67
EST5577481,LE Maintenance (Summer/Winter),Standard,,360.77,4,90.19
EST5577493,LE Maintenance (Summer/Winter),Standard,,507.82,6,84.64
EST5597035,LE Irrigation,Standard,,460.84,3,153.61
EST5869131,LE Irrigation,Standard,,5685.6,28,203.06
EST5741447,LE Tree Care,Standard,,2817.29,14,201.23
EST5742941,LE Paving,Standard,,11870.34,,
EST5807781,LE Landscapes,Standard,,1463.84,6,243.97
EST5643209,LE Tree Care,Standard,,3500.1,23.5,148.94
EST5643560,LE Paving,Standard,,63361.89,90,704.02
EST5671268,LE Irrigation,Standard,,1237.05,12,103.09
EST5831996,LE Tree Care,Standard,,562.48,4,140.62
EST3352762,LE Maintenance (Summer/Winter),Service,2025-2026,24022,100,240.22
EST5757741,LE Paving,Standard,,1860,1,1860.00
EST5742946,LE Paving,Standard,,7473.6,,
EST5626631,LE Maintenance Enchancements,Standard,,196.48,3,65.49
EST5742964,LE Paving,Standard,,7133.82,,
EST2991589,LE Maintenance (Summer/Winter),Service,2026,28514.65,300,95.05
EST2845948,LE Maintenance (Summer/Winter),Service,1,70879.95,90,787.55
EST2950411,LE Maintenance (Summer/Winter),Service,2026,3544.09,,
EST2991654,LE Maintenance (Summer/Winter),Service,2026,43880.7,300,146.27
EST2990831,LE Maintenance (Summer/Winter),Service,2026,1430.02,,
EST2990639,LE Maintenance (Summer/Winter),Service,2026,4005.98,,
EST2990670,LE Maintenance (Summer/Winter),Service,2026,6857.5,,
EST3040213,LE Maintenance (Summer/Winter),Service,2026,29088.37,105,277.03
EST2951174,LE Maintenance (Summer/Winter),Service,1,38631.6,90,429.24
EST2990837,LE Maintenance (Summer/Winter),Service,2027,1460.92,,
EST2991660,LE Maintenance (Summer/Winter),Service,2027,44671.43,300,148.90
EST2990674,LE Maintenance (Summer/Winter),Service,2027,7019.73,,
EST2991596,LE Maintenance (Summer/Winter),Service,2027,28917.83,300,96.39
EST2990656,LE Maintenance (Summer/Winter),Service,2027,4096.58,,