Estimate ID,Estimate #,Close Date,Status,Division,Price,Hours,Price/Hour,Exclusion Reason
EST3307411,EST3307411,2025-09-23T00:00:00+00:00,won,LE Maintenance (Summer/Winter),45364,1,45364.00,High price-per-hour ($45364.00)
EST3254553,EST3254553,2025-08-21T00:00:00+00:00,won,LE Maintenance (Summer/Winter),33295,1,33295.00,High price-per-hour ($33295.00)
EST3224652,EST3224652,2025-09-15T00:00:00+00:00,won,LE Maintenance (Summer/Winter),13334.81,1,13334.81,High price-per-hour ($13334.81)
EST3305946,EST3305946,2025-09-22T00:00:00+00:00,won,LE Maintenance (Summer/Winter),35550.42,1,35550.42,High price-per-hour ($35550.42)
EST3322412,EST3322412,2025-10-02T00:00:00+00:00,won,LE Maintenance (Summer/Winter),36044.85,1,36044.85,High price-per-hour ($36044.85)
EST2955829,EST2955829,2025-02-10T00:00:00+00:00,won,LE Maintenance (Summer/Winter),78665.37,1,78665.37,High price-per-hour ($78665.37)
EST3262014,EST3262014,2025-08-26T00:00:00+00:00,won,LE Maintenance (Summer/Winter),11319.84,1,11319.84,High price-per-hour ($11319.84)
EST3347950,EST3347950,2025-10-19T00:00:00+00:00,won,LE Maintenance (Summer/Winter),11319.84,1,11319.84,High price-per-hour ($11319.84)
EST3270334,EST3270334,2025-09-07T00:00:00+00:00,won,LE Maintenance (Summer/Winter),13200,1,13200.00,High price-per-hour ($13200.00)
EST2990117,EST2990117,2025-02-27T00:00:00+00:00,won,LE Maintenance (Summer/Winter),53063.1,5,10612.62,High price-per-hour ($10612.62)
EST2997957,EST2997957,2025-03-02T00:00:00+00:00,won,LE Maintenance (Summer/Winter),26037.71,1,26037.71,High price-per-hour ($26037.71)
EST2997198,EST2997198,2025-03-02T00:00:00+00:00,won,LE Maintenance (Summer/Winter),81007.29,1,81007.29,High price-per-hour ($81007.29)
EST2997285,EST2997285,2025-03-02T00:00:00+00:00,won,LE Maintenance (Summer/Winter),16045.85,1,16045.85,High price-per-hour ($16045.85)
EST3000180,EST3000180,2025-03-03T00:00:00+00:00,won,LE Maintenance (Summer/Winter),19208.73,1,19208.73,High price-per-hour ($19208.73)
EST2999958,EST2999958,2025-03-03T00:00:00+00:00,won,LE Maintenance (Summer/Winter),17883.06,1,17883.06,High price-per-hour ($17883.06)
EST2999562,EST2999562,2025-03-03T00:00:00+00:00,won,LE Maintenance (Summer/Winter),74348.79,1,74348.79,High price-per-hour ($74348.79)
EST3000299,EST3000299,2025-03-03T00:00:00+00:00,won,LE Maintenance (Summer/Winter),26547.61,1,26547.61,High price-per-hour ($26547.61)
EST2999661,EST2999661,2025-03-03T00:00:00+00:00,won,LE Maintenance (Summer/Winter),24600.11,1,24600.11,High price-per-hour ($24600.11)
EST3000041,EST3000041,2025-03-03T00:00:00+00:00,won,LE Maintenance (Summer/Winter),16677.15,1,16677.15,High price-per-hour ($16677.15)
EST2999761,EST2999761,2025-03-03T00:00:00+00:00,won,LE Maintenance (Summer/Winter),15487.43,1,15487.43,High price-per-hour ($15487.43)
EST3338967,EST3338967,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),138900,2,69450.00,High price-per-hour ($69450.00)
EST3339431,EST3339431,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),26680,2,13340.00,High price-per-hour ($13340.00)
EST3339038,EST3339038,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),116570,2,58285.00,High price-per-hour ($58285.00)
EST3339064,EST3339064,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),115940,2,57970.00,High price-per-hour ($57970.00)
EST3339265,EST3339265,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),86420,2,43210.00,High price-per-hour ($43210.00)
EST3339396,EST3339396,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),24610,2,12305.00,High price-per-hour ($12305.00)
EST3339221,EST3339221,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),336830,2,168415.00,High price-per-hour ($168415.00)
EST3339468,EST3339468,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),45370,2,22685.00,High price-per-hour ($22685.00)
EST3339498,EST3339498,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),29160,2,14580.00,High price-per-hour ($14580.00)
EST3339238,EST3339238,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),76400,2,38200.00,High price-per-hour ($38200.00)
EST3339247,EST3339247,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),76400,2,38200.00,High price-per-hour ($38200.00)
EST3339453,EST3339453,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),55820,2,27910.00,High price-per-hour ($27910.00)
EST3339633,EST3339633,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),39540,2,19770.00,High price-per-hour ($19770.00)
EST3287444,EST3287444,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),16125,1,16125.00,High price-per-hour ($16125.00)
EST3341651,EST3341651,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),27040,2,13520.00,High price-per-hour ($13520.00)
EST3340456,EST3340456,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),113560,2,56780.00,High price-per-hour ($56780.00)
EST3339229,EST3339229,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),336830,2,168415.00,High price-per-hour ($168415.00)
EST3339578,EST3339578,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),29160,2,14580.00,High price-per-hour ($14580.00)
EST3339474,EST3339474,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),45370,2,22685.00,High price-per-hour ($22685.00)
EST3339437,EST3339437,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),26680,2,13340.00,High price-per-hour ($13340.00)
EST3339408,EST3339408,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),24610,2,12305.00,High price-per-hour ($12305.00)
EST3339641,EST3339641,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),39540,2,19770.00,High price-per-hour ($19770.00)
EST3339458,EST3339458,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),55820,2,27910.00,High price-per-hour ($27910.00)
EST3339051,EST3339051,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),116570,2,58285.00,High price-per-hour ($58285.00)
EST3339275,EST3339275,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),86420,2,43210.00,High price-per-hour ($43210.00)
EST3338996,EST3338996,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),138900,2,69450.00,High price-per-hour ($69450.00)
EST3339582,EST3339582,2025-10-12T00:00:00+00:00,won,LE Maintenance (Summer/Winter),29160,2,14580.00,High price-per-hour ($14580.00)
EST3339442,EST3339442,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),26680,2,13340.00,High price-per-hour ($13340.00)
EST3340468,EST3340468,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),113560,2,56780.00,High price-per-hour ($56780.00)
EST3339416,EST3339416,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),24610,2,12305.00,High price-per-hour ($12305.00)
EST3339461,EST3339461,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),55820,2,27910.00,High price-per-hour ($27910.00)
EST3339280,EST3339280,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),86420,2,43210.00,High price-per-hour ($43210.00)
EST3341661,EST3341661,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),27040,2,13520.00,High price-per-hour ($13520.00)
EST3339076,EST3339076,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),115940,2,57970.00,High price-per-hour ($57970.00)
EST3341656,EST3341656,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),27040,2,13520.00,High price-per-hour ($13520.00)
EST3339251,EST3339251,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),76400,2,38200.00,High price-per-hour ($38200.00)
EST3340463,EST3340463,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),113560,2,56780.00,High price-per-hour ($56780.00)
EST3339233,EST3339233,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),336830,2,168415.00,High price-per-hour ($168415.00)
EST3339002,EST3339002,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),138900,2,69450.00,High price-per-hour ($69450.00)
EST3339647,EST3339647,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),39540,2,19770.00,High price-per-hour ($19770.00)
EST3339085,EST3339085,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),115940,2,57970.00,High price-per-hour ($57970.00)
EST3307548,EST3307548,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),14724,1,14724.00,High price-per-hour ($14724.00)
EST3312074,EST3312074,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),15165.72,1,15165.72,High price-per-hour ($15165.72)
EST3312077,EST3312077,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),15620.69,1,15620.69,High price-per-hour ($15620.69)